category,city,fax,phonenumber_three,province,description,url,phonenumber_four,website,subcategory_two,subcategory_three,subcategory_one,address_two,lead_source,phonenumber_five,phonenumber_two,company_name,address,keywords,email_address,phonenumber_one
Insulation Manufacturer,,,,,"Perlite Products -Lightweight Concrete -Lightweight Hollowblocks -Thermal Pipe/Board Insulation -Patching Compound -Cryogenic Insulation -Soil Conditioner -Filter Aid -Paint Filler Insulation Matl. -Fiberglass,Rockwool,Ceramic Fiber,Polyurethane,Rubber, PE Foam & Reflective Bubbles Other Product -Cement Board -Metal Framing -Stainless -Aluminum Sheet -Blind Rivets Service -Installation -Cldding Jobs ",,,,,,,,,,,"INSULFLEX INDUSTRIES, INC.",# 9 Gregorio Del Pilar St. PaltokQUEZON CITY NCR,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=eF6CpwvrHOREi3yfM03t4IHBTmVYAif3NqdSytxijII=,(02)372-1585
manufacturer,,,,,"CELLPAK PACKAGING INDUSTRIES is a established company, manufacturer of bubble plastic wrap and bubble foil insulation with the capabilities to design and customize a wide range of bubble bag, sheet type or according to customerâ€™s requirements for the packaging needs of various industries throughout Philippines, It was conceptualized to meet the packaging demand for packaging materials The Company is owned by Mr. Neil Sison who are expert in bubble plastic business. Our Plant located at No. 33 South Coast Drive, South Coast Industrial Complex, Carmona Cavite and Manila Plant at No. 4 Trinidad Street, Victoria Village, Canumay East, Valenzuela City.  Cellpak Packaging Industries meets growing demands of the fast-paced Semi-conductor requirements, high technology electronics, Semi-conductors as well as food industries and handicraft industries. Technically, the company is equipped with skilled and highly trained operators who have been in the business for more than 12 years.  With its advanced manufacturing and testing facilities â€“Cellpak Packaging Industries, produces good quality of bubble plastic to suit the specific needs of customers, The capacity of production still exceeds the demands of our customer because of the sophisticated and advanced machines we are using. That is also the reason why one of our main goal is to maximize the capacity of our production. Having the privilege to serve our existing clients which majority of them is into export business, it has brought about the sense in our service to always deliver on time. Even the proximity of the delivery has not been a problem to us since we are already used to deliver to distant places such as BATAAN , SUVIC, CLARK , TARLAC from the north all the way to sought provinces such as CAVITE , LAGUNA, LUCENA, BICOL, SAN PABLO , BATANGAS and among others. It shall always be ready to provide the BEST Bubble plastic products which are needed in the market. Quality of service and determination shall be valued in order to satisfy the needs of its client. Our quality policy is we are committed to provide our customers with quality bubble plastic products and services through good manufacturing practices and continual improvements in our process and quality system  ",,,,,,,,,,,cellpak Packaging Industries,No. 4 Canumay EastCITY OF VALENZUELA Metro Manila,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=0DAweP60pAdnQxlcF89v711scG7a2dyKizktbqqHKbc=,02-340-17-30
MANUFACTURER,,,,,"CELLPAK PACKAGING INDUSTRIES is a renowned full service manufacturer with capabilities to design and customize a wide range of  packaging   materials for the needs of various industries  throughout the Philippine archipelago.        OUR PRODUCTS  PLASTIC BUBBLE SHEET (40â€  x  100MTS- small bubble 2ply clear) (40â€  x  50mts-big bubble 2ply clear) In roll, sheet type, box type, bag type, envelope type	and our latest  perforated type.  Also available: 	anti static bubble roll-clear and colored  3ply sheet-clear and colored  PE/PP/HD PLASTIC (as per requirement) In bag type form, tube type Gusseted type or box type Trash bags (clear and black) Plastic streamers/banners  STRETCH FILM  BUBBLE FOIL (INSULATION) ALUMINIZED/PURE FOIL  PE FOAM BARE ( in any variation of sizes)  PE FOAM INSULATION  ",,,www.cellpakindus.com,,,,,,,,CELLPAK PACKAGING INDUSTRIES,CANUMAY EAST CANUMAY EASTVALENZUELA Metro Manila,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=Ef8EOK1IHoV4FWn4ONdFffzIvlKXYgUontq97zRiUn4= http://www.cellpakindus.com,+6323792886
Contractor,,,,,"Our company is a service oriented ROOFING/CEILING SPECIALIST that focuses mainly in the supply and installation of quality, durable and affordable roofing materials.  We offer products from particularly the following brands: - GYK Asphalt Shingles - Nuoran Roofing System Stone Coated Metal Roof Tiles - SCG Concrete Roof Tiles - Butterfly, Shinto and Mazarron Ceramics Clay Roof Tiles - Quick&Click PVC Panels for Ceiling and Wall Finishes  We also offer Complete Roofing System that includes DESIGN, SUPPLY and INSTALLATION of STEEL TRUSS or ROOF FRAMING using G.I. steel sections specifically engineered for roof framing function that is proven for its durability and strength with a 10 year guarantee.  Other trades and services we can provide to complete your requirements: Roof Insulation Q&C PVC Panels and Wall Cladding Gypsum / Acoustic / Metal Ceiling Boards Light Metal Frames for Ceiling/ Wall Phenolic Boards Aluminum Composite Panel Fascia and Cladding  ",,,,,,,,,,,Roofscape Enterprise,1135 Edsa Apolonio SamsonQuezon City METRO MANILA,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=E3qhLqalyE8aYc7SW8GMJnuHrp8MXTDXxPzVK_sBPyY=,024158367
MANUFACTURER,,,,,A MANUFACTURING COMPANY THAT PRODUCES BUBBLE INSULATION AND PE FOAM.  WE CATER OUR PRODUCTS TO CONSTRUCTION INDUSTRY. YOU CAN BE ASSURED OF LOWER PRICE BUT THE SAME QUALITY IN THE MARKET.WE ALWAYS HAVE STOCK FOR DELIVERY. FRIENDLY STAFF. OUR SITE IS ACCESSIBLE FOR THOSE WHO WANT TO PICK UP. ,,,,,,,,,,,PLUVIAL ENTERPRISES,Interior M. Gregorio Street Bagong Filipino Compound Canumay WestCITY OF VALENZUELA NCR,,,02-5440391
Bubble insulation,,,,,"Starfoil is local manufacturing company of BUBBLE INSULATION AND PE FOAM INSULATION used for roof insulation. it is light weight, water resistant, CFC free, Recyclable, Reusable, Radiant Barrier, Heat Insulation, sound Proof, easy to install, High Reflectivity and Improve energy cost saving Insulation ",,,,,,,,,,,starfoil,No. 4 Trinidad Street  Victoria VillageCITY OF VALENZUELA NCR,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=RqacwGCMfuE3uMT65Hg57w0rlWXSgXZWKn51qoeC7qw=,02 806 7881
"Salon, Spa, wellness center, grooming services",,,,,"The newest salon and spa in Marikina City! Complete Salon services with top caliber stylists to pamper you. The salon specializes in haircutting, coloring and rebonding using only the best salon exclusive treatments and solutions.Come and experience the difference of a great haircut! Experience body treatments with the introduction of special scrubs and body massages as well as feet pampering with our famous foot care...call or text 3343276 ",,,zuisalonspa.blogspot.com,,,,,,,,ZUI Salon and Spa,167B  A. Bonifacio Bgy. TaniongMarikina City Metro Manila,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=RJTVDFqwrHDexYF8UxTNCnnIl8gT3t-N5tbhIVgqsNk= http://zuisalonspa.blogspot.com,(632) 3343276
Eatery - Lutong Ulam,,,,,"MARKEN & JANUS LUTONG ULAM ATBP. is a Eatery - Lutong Ulam business in MARIKINA,METRO MANILA ",,,,,,,,,,,MARKEN & JANUS LUTONG ULAM ATBP.,A. BONIFACIO AVEMARIKINA METRO MANILA,,,
Eatery - Gotohan,,,,,"GOTO AVENUE is a Eatery - Gotohan business in MARIKINA,METRO MANILA ",,,,,,,,,,,GOTO AVENUE,A. BONIFACIO AVEMARIKINA METRO MANILA,,,948-3936
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at Riverbank's Center  A. Bonifacio Avenue    , MARIKINA   , METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,Riverbank's Center A. Bonifacio AvenueMARIKINA  METRO MANILA,,http://www.bpiexpressonline.com,
Automatic Teller Machines,,,,,"This Banco de Oro ATM Machine is located at G/F Riverbanks Mall  annex near Bonifacio Ave.   , MARIKINA, METRO MANILA. Access your account from more than 1,400 BDO ATM's nationwide 24x7. BDO ATMs are conveniently located in malls, department stores, grocery stores, hospitals, convenience stores, fast food outlets, gasoline stations and selected corporate clients sites.  With BDO ATMs, you may: - Check your Account or Cash Card balance - Withdraw up to Php 50,000.00 cash per day - Transfer money (Funds Transfer) to your own or other enrolled BDO bank accounts or Cash Card accounts - Pay your bills immediately to over 60 accredited companies or merchants (no need to enroll selected companies or merchants) - Load SMART, Talk 'N Text, Globe, Touch Mobile (TM) and SUN prepaid mobile phone - Avail of cash advance from your Amex, JCB, MasterCard or Visa credit card - Order more Checkbooks ",,,www.bdo.com.ph/personal/electronicbanking/atm.asp,,,,,,,,Banco de Oro Automatic Teller Machine,G/F Riverbanks Mall annex near Bonifacio Ave.MARIKINA METRO MANILA,,http://www.bdo.com.ph/personal/electronicbanking/atm.asp,
Automatic Teller Machines,,,,,"This Bancnet ATM is located at RIVERSIDE MALL, A. BONIFACIO AVE., MARIKINA CITY, METRO MANILA.  In keeping abreast with the evolving needs of bank clients, BancNet has introduced several innovations that have transformed the ATM card to a multifunction debit card.  Aside from the traditional cash withdrawal and balance inquiry service, BancNet also provides a wide range of services available through the ATM such as:  Bills Payment Checkbook Request Credit Card Cash Advance Intra/ Inter Bank Funds Transfer Prepaid Phone Reload  Through interconnection with other ATM consortia in the country- Expressnet and Megalink, and international card networks VISA, Diners Club, Discover Card, JCB and China Union Pay, BancNet provides not only the widest nationwide access to their accounts but worldwide convenience as well. ",,,www.bancnetonline.com,,,,,,,,RCBC SAVINGS Bancnet ATM,"RCBC SAVINGS RIVERSIDE MALL, A. BONIFACIO AVE.MARIKINA CITY METRO MANILA",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=RX7wI8xSQieuU_2OjpKaYG75UQpv2kSxzTZ0HRygzpQ= http://www.bancnetonline.com,
Automatic Teller Machines,,,,,"This Bancnet ATM is located at A1-24 RIVERBANKS ARCADE, RIVERBANKS CTR, 84 A. BONIFACIO AVE, MARIKINA CITY, METRO MANILA.  In keeping abreast with the evolving needs of bank clients, BancNet has introduced several innovations that have transformed the ATM card to a multifunction debit card.  Aside from the traditional cash withdrawal and balance inquiry service, BancNet also provides a wide range of services available through the ATM such as:  Bills Payment Checkbook Request Credit Card Cash Advance Intra/ Inter Bank Funds Transfer Prepaid Phone Reload  Through interconnection with other ATM consortia in the country- Expressnet and Megalink, and international card networks VISA, Diners Club, Discover Card, JCB and China Union Pay, BancNet provides not only the widest nationwide access to their accounts but worldwide convenience as well. ",,,www.bancnetonline.com,,,,,,,,PSBANK Bancnet ATM,"PSBANK A1-24 RIVERBANKS ARCADE, RIVERBANKS CTR, 84 A. BONIFACIO AVEMARIKINA CITY METRO MANILA",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=RX7wI8xSQieuU_2OjpKaYG75UQpv2kSxzTZ0HRygzpQ= http://www.bancnetonline.com,
,,,,,,,,,,,,,,,,,,,,
Overseas Employment Agency,,,,,"Geo Sphere Recruitment Philippines Inc is an overseas employment recruitment agency accredited with the Philippine Overseas Employment Administration. Geo Sphere Recruitment Philippines Inc  has offices at 2/F Jbc Clarion Bldg 174 A Bonifacio Avenue Tanong, Marikina. ",,,www.geosphere-recruitment.com,,,,,,,,GEO SPHERE RECRUITMENT PHILIPPINES INC,"2/F JBC CLARION BLDG 174 A BONIFACIO AVENUE TANONG, MARIKINA",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=7yvM-IRSgOJv4d7cuXIEoyh28elPc6fkhVBuJ0RwgaKNgBV37l64h1VJp4zMo0lG http://www.geosphere-recruitment.com,9973679/0999-9956881/0925-6878532
Eatery - Restaurant,,,,,"MANG INASAL is a Eatery - Restaurant business in MARIKINA,METRO MANILA ",,,,,,,,,,,MANG INASAL,A. BONIFACIO AVE. RIVERBANKS MALLMARIKINA METRO MANILA,,,
Information Technology,,,,,"ThinkBIT has witnessed continuous growth in both clienteles and portfolio ever since it was established in 2014. Our in-house team of designers, developers, and marketers assures quality delivery of projects such as:  - Logo Designs, UI/UX Mockups - Website Development, Website Concept Design - Web and Mobile apps(Android and iOS) - Business System Development (Inventory, HRM, School System, Event Registration) - Digital Marketing, SEO marketing, Social Media Management  We strive to provide and help our clients create not just what they want, but also what they need because here at ThinkBIT, we create functionality with intuitive design that's within your budget, time, and scope. We don’t simply create or re-create, we make it better. One step ahead of the trend.  We strive to provide value and with it, the growth of your business.  ",,,thinkbitsolutions.com,,,,,,,,ThinkBIT Solutions Phils. Inc.,#24 21st Avenue TagumpayQuezon City METRO MANILA,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=2TgvquaVhE9Op01ZyjGzl_F03xvbfvRUVTmomU_iPoo= http://thinkbitsolutions.com,023649273
Advertising,,,,,"Mega Media Internet Advertising Inc. has 20,000,000 online digital market followers. Services offered: Search Engine Optimization (SEO), Social Media Management (SMM), Viral Marketing, Online Influencer, Influencer Marketing, Online Reputation Management ",,,www.megamedia.ph,,,,,,,,Mega Media Internet Advertising Inc.,"267 Bonny Serrano Avenue, Murphy Cubao San RoqueQuezon City METRO MANILA",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=88G5DTF5CbSBC6Sw5o3zPfVQb0K6slazsVUfY5cmpXM= http://www.megamedia.ph,025133436
Learning and Business Events,,,,,"Our company is a community abound with speakers, consultants and talents having an experience of 10-20 years in our respective core  and technical competencies  focused in Strategic Management, Financial Management, Entrepreneurship, Leadership, Motivation Engineer, Sales and Marketing, Human Resource and Organizational Development, and Events Management.  We exist for the chief purpose of educating every Filipino on the critical yet relevant topics of today. Then we package it uniquely! We are an organization in the country that touts collaboration amongst experts and professionals.  We embark in offering people a new and dynamic form of information, utilization of social media outlets, and structured corporate learning, public learning, and business events. Our focal commitment is holistic and adaptable to what is currently needed today.  Our Services - Corporate Learning - Events Management - Consultancy - Speakers Bureau ",,,www.whiteboardlearning.ph,,,,,,,,Whiteboard,"No. 22 Km. 16 De Castro St. Ortigas Ave. No. 22 Km. 16 De Castro St. Ortigas Ave. Brgy Santa Lucia, Pasig City 1608CITY OF PASIG Metro Manila",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=S_eUi6BSyz6MHKNb9S0qkqOEUUSHYkqS_nQ3XZbKbw4= http://www.whiteboardlearning.ph,02 267 5635
"Event Management, Digital Marketing, Social Media Marketing, Website Development Maintenance Content",,,,,"Captured Dream Productions is a leader in event management in Manila, Philippines.  We create experiences that make memories last for a lifetime.  We  at  Captured  Dream  bring  a  fresh  and  dynamic  perspective  to  events,  media  productions  and marketing promotion.  We are composed of young and seasoned professionals from different walks of life, brought together by three things: fresh and forward-looking ideas, a passion for production, and dreams that go beyond borders.  We believe in a hands-on approach in everything that we do. We create bespoke, personalized services because every client is different, we understand our clients and cater to their unique needs. At the same time, we believe in keeping to the spirit of adventure that comes with chasing one’s dream. And that’s what we want – to help you reach for your stars.  Our  diverse  portfolio  includes  handling  high  profile  corporate  events,  fashion  shows,  branding,  ad campaigns, digital and social media marketing, team building, and community services.   ",,,www.captured-dream.com,,,,,,,,Captured Dream Productions,"Unit 3301, 33rd Floor, One Corporate Center, Julia Vargas Street Cor. Meralco Avenue OrtigasPasig METRO MANILA",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=LDpNBjzHsl5kXXdA6xlzb8OMngIKZcCiQus1TThaick= http://www.captured-dream.com,+6325719000
SERVICES,,,,,"TACTICAL MIX MARKETING COMMUNICATION SERVICES INC is an Advertising, Promotions, Public Relations, Events, Production,& Publishing Group in Ortigas Center, Pasig City, Phils.  OUR PREMIER SERVICES  MARKETING & SALES â€“ Strategies & Programs  Integration  Promodizing  ADVERTISING â€“ Strategies  Creatives  Media Planning & Placement  PUBLIC RELATIONS / PUBLICITY - Strategies  Messaging  Media Placement  PROMOTIONS â€“ Collaterals  Installations  Premium Items  WRITING & EDITING SERVICES â€“ Editorial Design  Copywriting  Scripts Press Releases  News & Features  Books Annual Reports  Executive Communique Technical Writing (Capable in various languages)  GRAPHIC DESIGN & PRINT PRODUCTION â€“ Layout Design & Artworks  Page & Materials Planning  Printing: offset, digital, large format  PHOTOGRAPHY â€“ Product  Ad/Collateral Visuals  Portraiture Landscape  Coverages  Documentation  VIDEO PRODUCTON / MULTIMEDIA - Company/Project/Product Profiles Documentaries  Instructional/Educational Coverages  Post-Production â€“ non-linear editing, recording, scoring, animation, conversion, transfers, multiplication  ELECTRONIC/OPTICAL PRODUCTIONS â€“ E-books  Product & Sales CD or DVD kits  WEB DESIGN & DEVELOPMENT â€“ Content Planning & Writing  Programming Maintenance & Program Technical Support  EVENTS MANAGEMENT â€“ Launchings  Brand Activation  Sales Rallies & Promo Activities  Corporate Events  Stage Shows Stage Designs  Conferences, Training & Seminars  IEC CAMPAIGNS (Information, Education, Communication) / PUBLIC SERVICE ADS  PUBLISHING  PROJECT CURATORS & EXHIBIT DESIGN,DEVELOPMENT & FABRICATION  TELEVISION SPECIALS PRODUCTION  CORPORATE / INSTITUTIONAL COMMUNICATION /  EMPLOYEE COMMUNICATION  BUSINESS DEVELOPMENT CONSULTANCY  MARKETING RESEARCH ",,,www.tacticalmix.com,,,,,,,,TACTICAL MIX MARKETING COMMUNICATION SERVICES INC,"Unit 1203 ADB Ave. cor. Garnet Rd, Ortigas Center San AntonioCITY OF PASIG NCR",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=kZblRfITwpbPN3AlpkHmZYOAEdsSbenE_-iDc0mrH68= http://www.tacticalmix.com,+63 2 6874930
Internet Marketing,,,,,"LinkBuildArticles is a driven and result oriented search engine optimization (SEO) firm that offers high value quality service with most competitive, comprehensive and cost effective prices online. LinkBuildArticles is all about digital brand marketing, online reputation management, social media, content writing, manual search engine submissions and search engine optimization (SEO). We help people to have a prominent online visibility and boost your Search engine rankings to increase your sales. ",,,www.linkbuildarticles.com,,,,,,,,Link Build Articles,0/F Suite 1035 City & Land Mega Plaza ADB Ave. corner Garnet Rd. Ortigas  San AntonioCITY OF PASIG NCR,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=XvLKcvrGyqK4SI1xBc0wQM3Dxk6_nNPcHEiebBIDDy0= http://www.linkbuildarticles.com,+632 625 2542
